Name,Year,Theme,Theme_Group,Category,Pieces,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price,Theme_ID,Theme_Group_ID,Category_ID,Age_of_Set,Price_per_Piece,Age_to_Price_Ratio,Theme_Quantity_Interaction,Price_Elasticity,Profit_Margin,Relative_Quantity,Lag_Total_Quantity,Lag_Current_Price
Toy Story Train,2019,Duplo,Pre-school,Normal,21.0,802.0,4.2,19.99,4.0,22.5,13,8.0,2,5.0,0.9519047619047618,0.25012506253126565,32.0,1.1255627813906954,2.5100000000000016,0.00012147347323028334,1.0,65.655
Emmet and Lucy's Visitors from the DUPLO Planet,2019,Duplo,Pre-school,Normal,53.0,731.0,4.2,29.99,1.0,24.0,13,8.0,2,5.0,0.5658490566037736,0.16672224074691563,8.0,0.8002667555851951,-5.989999999999998,3.0368368307570834e-05,4.0,22.5
My First Minnie Build,2019,Duplo,Pre-school,Normal,10.0,460.0,0.0,9.99,1.0,9.99,13,8.0,2,5.0,0.999,0.5005005005005005,8.0,1.0,0.0,3.0368368307570834e-05,1.0,24.0
My First Mickey Build,2019,Duplo,Pre-school,Normal,9.0,493.0,0.0,9.99,2.0,5.0,13,8.0,2,5.0,1.11,0.5005005005005005,16.0,0.5005005005005005,-4.99,6.073673661514167e-05,1.0,9.99
Frozen Ice Castle,2019,Duplo,Pre-school,Normal,59.0,547.0,4.2,49.99,1.0,49.0,13,8.0,2,5.0,0.8472881355932204,0.10002000400080016,8.0,0.9801960392078415,-0.990000000000002,3.0368368307570834e-05,2.0,5.0
Bricks and Ideas,2019,Classic,Basic,Normal,123.0,2050.0,3.6,9.99,16.0,6.95,6,2.0,2,5.0,0.08121951219512195,0.5005005005005005,32.0,0.6956956956956957,-3.04,0.00048589389292113335,1.0,49.0
Basic Brick Set ,2019,Classic,Basic,Normal,300.0,1117.0,3.3,19.99,3.0,14.95,6,2.0,2,5.0,0.06663333333333332,0.25012506253126565,6.0,0.7478739369684843,-5.039999999999999,9.11051049227125e-05,16.0,6.95
Creative Fun,2019,Classic,Basic,Normal,900.0,1688.0,3.8,39.99,1.0,29.0,6,2.0,2,5.0,0.04443333333333334,0.1250312578144536,2.0,0.7251812953238309,-10.990000000000002,3.0368368307570834e-05,3.0,14.95
Harry Potter: Build Your Own Adventure parts,2019,Harry Potter,Licensed,Normal,101.0,907.0,3.6,29.99,2.0,18.0,17,4.0,2,5.0,0.2969306930693069,0.16672224074691563,8.0,0.6002000666888964,-11.989999999999998,6.073673661514167e-05,1.0,29.0
San Francisco,2019,Architecture,Model making,Normal,565.0,8659.0,4.2,49.99,61.0,64.95,0,6.0,2,5.0,0.08847787610619469,0.10002000400080016,366.0,1.2992598519703942,14.96,0.001852470466761821,2.0,18.0
Paris,2019,Architecture,Model making,Normal,649.0,8666.0,4.1,49.99,15.0,36.99,0,6.0,2,5.0,0.07702619414483822,0.10002000400080016,90.0,0.7399479895979196,-13.0,0.0004555255246135625,61.0,64.95
Trafalgar Square,2019,Architecture,Model making,Normal,1197.0,5974.0,4.4,79.99,11.0,70.0,0,6.0,2,5.0,0.06682539682539682,0.06250781347668459,66.0,0.8751093886735842,-9.989999999999995,0.0003340520513832792,15.0,36.99
Empire State Building,2019,Architecture,Model making,Normal,1767.0,5827.0,4.4,129.99,5.0,139.99,0,6.0,2,5.0,0.0735653650254669,0.03846449726902069,30.0,1.0769289945380414,10.0,0.00015184184153785418,11.0,70.0
Burj Khalifa,2019,Architecture,Model making,Normal,333.0,836.0,0.0,29.99,2.0,89.99,0,6.0,2,5.0,0.09006006006006005,0.16672224074691563,12.0,3.0006668889629875,60.0,6.073673661514167e-05,5.0,139.99
Minecraft Steve BigFig with Parrot,2019,Minecraft,Licensed,Normal,159.0,1626.0,3.9,14.99,11.0,35.0,25,4.0,2,5.0,0.09427672955974843,0.333555703802535,44.0,2.334889926617745,20.009999999999998,0.0003340520513832792,2.0,89.99
Minecraft Alex BigFig with Chicken,2019,Minecraft,Licensed,Normal,160.0,1405.0,4.2,14.99,3.0,28.0,25,4.0,2,5.0,0.0936875,0.333555703802535,12.0,1.867911941294196,13.01,9.11051049227125e-05,11.0,35.0
Minecraft Skeleton BigFig with Magma Cube,2019,Minecraft,Licensed,Normal,142.0,1484.0,4.1,14.99,11.0,24.687,25,4.0,2,5.0,0.10556338028169014,0.333555703802535,44.0,1.6468979319546364,9.697000000000001,0.0003340520513832792,3.0,28.0
The End Battle,2019,Minecraft,Licensed,Normal,222.0,3652.0,3.8,19.99,35.0,20.0,25,4.0,2,5.0,0.09004504504504504,0.25012506253126565,140.0,1.0005002501250626,0.010000000000001563,0.001062892890764979,11.0,24.687
Pirate Ship,2019,Minecraft,Licensed,Normal,386.0,2198.0,4.3,39.99,6.0,44.8215,25,4.0,2,5.0,0.10360103626943006,0.1250312578144536,24.0,1.1208177044261065,4.831499999999998,0.000182210209845425,35.0,20.0
The Wool Farm,2019,Minecraft,Licensed,Normal,260.0,1992.0,3.9,19.99,3.0,22.1311,25,4.0,2,5.0,0.07688461538461538,0.25012506253126565,12.0,1.1071085542771386,2.1411000000000016,9.11051049227125e-05,6.0,44.8215
The Blaze Bridge,2019,Minecraft,Licensed,Normal,372.0,1873.0,4.2,29.99,12.0,25.0,25,4.0,2,5.0,0.08061827956989247,0.16672224074691563,48.0,0.8336112037345782,-4.989999999999998,0.00036442041969085,3.0,22.1311
The Creeper Mine,2019,Minecraft,Licensed,Normal,834.0,1542.0,4.4,79.99,19.0,84.0,25,4.0,2,5.0,0.09591127098321342,0.06250781347668459,76.0,1.0501312664083011,4.010000000000005,0.0005769989978438459,12.0,25.0
The Flintstones,2019,Ideas,Miscellaneous,Normal,748.0,11051.0,4.1,59.99,24.0,60.0,20,5.0,2,5.0,0.08020053475935829,0.0833472245374229,120.0,1.0001666944490748,0.00999999999999801,0.0007288408393817,19.0,84.0
Steamboat Willie,2019,Ideas,Miscellaneous,Normal,751.0,10180.0,4.3,89.99,35.0,157.03,20,5.0,2,5.0,0.11982689747003994,0.055561729081009,175.0,1.744971663518169,67.04,0.001062892890764979,24.0,60.0
Tree House,2019,Ideas,Miscellaneous,Normal,3036.0,15647.0,4.5,249.99,28.0,151.2,20,5.0,2,5.0,0.08234189723320158,0.02000080003200128,140.0,0.6048241929677186,-98.79000000000002,0.0008503143126119834,35.0,157.03
Central Perk,2019,Ideas,Miscellaneous,Normal,1070.0,19805.0,4.4,59.99,42.0,50.0,20,5.0,2,5.0,0.05606542056074767,0.0833472245374229,210.0,0.833472245374229,-9.990000000000002,0.001275471468917975,28.0,151.2
Dinosaur Fossils,2019,Ideas,Miscellaneous,Normal,910.0,12166.0,4.2,59.99,50.0,63.5248,20,5.0,2,5.0,0.06592307692307693,0.0833472245374229,250.0,1.0589231538589765,3.534799999999997,0.0015184184153785418,42.0,50.0
My First Duck,2019,Duplo,Pre-school,Normal,6.0,643.0,0.0,29.99,34.0,3.0,13,8.0,2,5.0,4.998333333333333,0.16672224074691563,272.0,0.10003334444814939,-26.99,0.0010325245224574084,50.0,63.5248
Emmet's 'Piece' Offering,2019,The LEGO Movie 2,Licensed,Normal,44.0,5771.0,3.4,29.99,170.0,3.99,39,4.0,2,5.0,0.681590909090909,0.16672224074691563,680.0,0.13304434811603869,-26.0,0.005162622612287042,34.0,3.0
Fire ATV,2019,City,Modern day,Normal,39.0,4700.0,3.4,29.99,21.0,3.0,5,7.0,2,5.0,0.768974358974359,0.16672224074691563,147.0,0.10003334444814939,-26.99,0.0006377357344589875,170.0,3.99
Sky Police Jetpack,2019,City,Modern day,Normal,33.0,2207.0,3.3,29.99,29.0,4.99,5,7.0,2,5.0,0.9087878787878787,0.16672224074691563,203.0,0.16638879626542183,-25.0,0.0008806826809195542,21.0,3.0
Race Boat,2019,City,Modern day,Normal,34.0,2650.0,3.4,29.99,7.0,5.75,5,7.0,2,5.0,0.8820588235294117,0.16672224074691563,49.0,0.191730576858953,-24.24,0.00021257857815299585,29.0,4.99
Popcorn Cart,2019,City,Modern day,Normal,43.0,8123.0,4.1,29.99,35.0,8.0,5,7.0,2,5.0,0.6974418604651162,0.16672224074691563,245.0,0.26675558519506504,-21.99,0.001062892890764979,7.0,5.75
Space Satellite,2019,City,Modern day,Normal,36.0,7609.0,3.9,3.99,202.0,4.5,5,7.0,2,5.0,0.11083333333333334,1.2531328320802004,1414.0,1.1278195488721805,0.5099999999999998,0.006134410398129309,35.0,8.0
Naboo Starfighter,2019,Star Wars,Licensed,Normal,48.0,4929.0,3.8,29.99,62.0,6.0,35,4.0,2,5.0,0.6247916666666666,0.16672224074691563,248.0,0.20006668889629878,-23.99,0.0018828388350693916,202.0,4.5
Snowspeeder,2019,Star Wars,Licensed,Normal,49.0,6235.0,3.8,29.99,111.0,4.9827,35,4.0,2,5.0,0.6120408163265306,0.16672224074691563,444.0,0.16614538179393132,-25.007299999999997,0.0033708888821403628,62.0,6.0
Steve and Creeper Set,2019,Minecraft,Licensed,Normal,36.0,1815.0,3.8,29.99,18.0,8.8264,25,4.0,2,5.0,0.8330555555555555,0.16672224074691563,72.0,0.2943114371457152,-21.1636,0.000546630629536275,111.0,4.9827
Tulips,2019,Friends,Modern day,Normal,90.0,3294.0,3.9,29.99,37.0,10.0,16,7.0,2,5.0,0.3332222222222222,0.16672224074691563,259.0,0.33344448149383127,-19.99,0.0011236296273801208,18.0,8.8264
Emma's Bumper Cars,2019,Friends,Modern day,Normal,66.0,1737.0,3.5,29.99,2.0,3.99,16,7.0,2,5.0,0.45439393939393935,0.16672224074691563,14.0,0.13304434811603869,-26.0,6.073673661514167e-05,37.0,10.0
Mia's Water Fun,2019,Friends,Modern day,Normal,28.0,1434.0,3.4,3.99,21.0,4.356,16,7.0,2,5.0,0.14250000000000002,1.2531328320802004,147.0,1.0917293233082705,0.36599999999999966,0.0006377357344589875,2.0,3.99
Spider-Man's Mini Spider Crawler,2019,Marvel Super Heroes,Licensed,Normal,73.0,2856.0,3.6,29.99,16.0,5.1391,23,4.0,2,5.0,0.41082191780821914,0.16672224074691563,64.0,0.17136045348449483,-24.8509,0.00048589389292113335,21.0,4.356
Iron Man and Dum-E,2019,Marvel Super Heroes,Licensed,Normal,38.0,6397.0,3.7,29.99,76.0,3.6606,23,4.0,2,5.0,0.7892105263157895,0.16672224074691563,304.0,0.12206068689563189,-26.3294,0.0023079959913753834,16.0,5.1391
Rex's Plantimal Ambush,2019,The LEGO Movie 2,Licensed,Normal,32.0,4571.0,3.7,3.99,39.0,2.99,39,4.0,2,5.0,0.1246875,1.2531328320802004,156.0,0.7493734335839599,-1.0,0.0011843663639952626,76.0,3.6606
Podracer,2019,Star Wars,Licensed,Normal,58.0,4883.0,3.4,29.99,75.0,6.0,35,4.0,2,5.0,0.5170689655172414,0.16672224074691563,300.0,0.20006668889629878,-23.99,0.0022776276230678126,39.0,2.99
Lucy vs. Alien Invader,2019,The LEGO Movie 2,Licensed,Normal,44.0,3388.0,3.8,29.99,21.0,3.5,39,4.0,2,5.0,0.681590909090909,0.16672224074691563,84.0,0.11670556852284095,-26.49,0.0006377357344589875,75.0,6.0
Mini Master-Building MetalBeard,2019,The LEGO Movie 2,Licensed,Normal,42.0,5765.0,3.7,29.99,161.0,3.5,39,4.0,2,5.0,0.714047619047619,0.16672224074691563,644.0,0.11670556852284095,-26.49,0.004889307297518904,21.0,3.5
Mini Master-Building Emmet,2019,The LEGO Movie 2,Licensed,Normal,49.0,5309.0,3.5,29.99,24.0,1.5,39,4.0,2,5.0,0.6120408163265306,0.16672224074691563,96.0,0.050016672224074694,-28.49,0.0007288408393817,161.0,3.5
Sam-X,2019,Ninjago,Action/Adventure,Normal,56.0,1706.0,3.2,29.99,15.0,3.516,29,0.0,2,5.0,0.5355357142857142,0.16672224074691563,0.0,0.11723907969323108,-26.473999999999997,0.0004555255246135625,24.0,1.5
Ninja Workout,2019,Ninjago,Action/Adventure,Normal,31.0,1016.0,3.6,29.99,17.0,4.99,29,0.0,2,5.0,0.9674193548387097,0.16672224074691563,0.0,0.16638879626542183,-25.0,0.0005162622612287042,15.0,3.516
Fire Flight,2019,Ninjago,Action/Adventure,Normal,54.0,1530.0,3.4,29.99,1.0,4.99,29,0.0,2,5.0,0.5553703703703703,0.16672224074691563,0.0,0.16638879626542183,-25.0,3.0368368307570834e-05,17.0,4.99
Fish Free Builds - Make It Yours,2019,Miscellaneous,Miscellaneous,Normal,39.0,916.0,3.4,29.99,2.0,3.0,27,5.0,2,5.0,0.768974358974359,0.16672224074691563,10.0,0.10003334444814939,-26.99,6.073673661514167e-05,1.0,4.99
Elsa's Winter Throne,2019,Disney,Licensed,Normal,42.0,2515.0,3.6,29.99,21.0,5.5,11,4.0,2,5.0,0.714047619047619,0.16672224074691563,84.0,0.1833944648216072,-24.49,0.0006377357344589875,2.0,3.0
Pelican,2019,Creator,Model making,Normal,62.0,4770.0,3.6,29.99,52.0,3.99,8,6.0,2,5.0,0.48370967741935483,0.16672224074691563,312.0,0.13304434811603869,-26.0,0.0015791551519936833,21.0,5.5
Race Car,2019,Creator,Model making,Normal,68.0,2355.0,3.4,29.99,4.0,3.49,8,6.0,2,5.0,0.44102941176470584,0.16672224074691563,24.0,0.11637212404134713,-26.5,0.00012147347323028334,52.0,3.99
Santa,2019,Creator,Model making,Normal,67.0,4307.0,3.4,29.99,1063.0,5.5,8,6.0,2,5.0,0.4476119402985074,0.16672224074691563,6378.0,0.1833944648216072,-24.49,0.0322815755109478,4.0,3.49
Star-Stuck Emmet,2019,The LEGO Movie 2,Licensed,Normal,41.0,1248.0,4.1,29.99,57.0,5.49,39,4.0,2,5.0,0.7314634146341463,0.16672224074691563,228.0,0.1830610203401134,-24.5,0.0017309969935315375,1063.0,5.5
SHAZAM!,2019,DC Comics Super Heroes,Licensed,Normal,5.0,1045.0,4.3,29.99,34.0,12.0,10,4.0,2,5.0,5.997999999999999,0.16672224074691563,136.0,0.40013337779259756,-17.99,0.0010325245224574084,57.0,5.49
Obi-Wan Kenobi - Collectable Minifigure,2019,Star Wars,Licensed,Normal,12.0,8761.0,4.0,3.99,185.0,8.9735,35,4.0,2,5.0,0.3325,1.2531328320802004,740.0,2.2489974937343358,4.983499999999999,0.0056181481369006045,34.0,12.0
Futuristic Flyer,2019,Creator,Model making,Normal,157.0,1748.0,3.6,14.99,48.0,19.99,8,6.0,2,5.0,0.09547770700636943,0.333555703802535,288.0,1.333555703802535,4.999999999999998,0.0014576816787634,185.0,8.9735
Dune Buggy,2019,Creator,Model making,Normal,147.0,2030.0,3.7,12.99,5.0,12.99,8,6.0,2,5.0,0.08836734693877552,0.3849114703618168,30.0,1.0,0.0,0.00015184184153785418,48.0,19.99
Deep Sea Creatures,2019,Creator,Model making,Normal,230.0,10165.0,4.3,14.99,10.0,5.99,8,6.0,2,5.0,0.06517391304347826,0.333555703802535,60.0,0.39959973315543695,-9.0,0.00030368368307570837,5.0,12.99
Sunset Track Racer,2019,Creator,Model making,Normal,221.0,2205.0,3.6,19.99,7.0,17.95,8,6.0,2,5.0,0.0904524886877828,0.25012506253126565,42.0,0.8979489744872436,-2.039999999999999,0.00021257857815299585,10.0,5.99
Underwater Robot,2019,Creator,Model making,Normal,207.0,3195.0,4.2,19.99,16.0,25.48,8,6.0,2,5.0,0.09657004830917873,0.25012506253126565,96.0,1.2746373186593298,5.490000000000002,0.00048589389292113335,7.0,17.95
Shuttle Transporter,2019,Creator,Model making,Normal,341.0,2835.0,3.9,24.99,2.0,29.99,8,6.0,2,5.0,0.07328445747800585,0.20008003201280514,12.0,1.200080032012805,5.0,6.073673661514167e-05,16.0,25.48
Helicopter Adventure,2019,Creator,Model making,Normal,114.0,1956.0,3.4,9.99,7.0,9.0,8,6.0,2,5.0,0.08763157894736842,0.5005005005005005,42.0,0.9009009009009009,-0.9900000000000002,0.00021257857815299585,2.0,29.99
Riverside Houseboat,2019,Creator,Model making,Normal,396.0,4502.0,3.9,39.99,3.0,32.0,8,6.0,2,5.0,0.1009848484848485,0.1250312578144536,18.0,0.800200050012503,-7.990000000000002,9.11051049227125e-05,7.0,9.0
Race Plane,2019,Creator,Model making,Normal,333.0,1740.0,4.2,29.99,5.0,22.0,8,6.0,2,5.0,0.09006006006006005,0.16672224074691563,30.0,0.7335778592864288,-7.989999999999998,0.00015184184153785418,3.0,32.0
Fairground Carousel,2019,Creator,Model making,Normal,595.0,4331.0,4.0,49.99,8.0,45.0,8,6.0,2,5.0,0.08401680672268907,0.10002000400080016,48.0,0.9001800360072014,-4.990000000000002,0.00024294694646056667,5.0,22.0
Twin-Rotor Helicopter,2019,Creator,Model making,Normal,569.0,1198.0,4.3,59.99,6.0,49.95,8,6.0,2,5.0,0.10543057996485061,0.0833472245374229,36.0,0.8326387731288548,-10.04,0.000182210209845425,8.0,45.0
Townhouse Pet Shop & Café,2019,Creator,Model making,Normal,969.0,6405.0,4.2,79.99,22.0,88.6552,8,6.0,2,5.0,0.08254901960784314,0.06250781347668459,132.0,1.1083285410676333,8.665199999999999,0.0006681041027665584,6.0,49.95
Outback Cabin,2019,Creator,Model making,Normal,305.0,2078.0,3.8,29.99,5.0,56.0,8,6.0,2,5.0,0.098327868852459,0.16672224074691563,30.0,1.8672890963654551,26.01,0.00015184184153785418,22.0,88.6552
Year of the Pig,2019,Seasonal,Miscellaneous,Normal,152.0,3552.0,3.8,9.99,19.0,33.1642,33,5.0,2,5.0,0.06572368421052632,0.5005005005005005,95.0,3.31973973973974,23.1742,0.0005769989978438459,5.0,56.0
MSC Cruises,2019,Promotional,Miscellaneous,Normal,181.0,274.0,0.0,29.99,1.0,85.0,32,5.0,2,5.0,0.16569060773480662,0.16672224074691563,5.0,2.834278092697566,55.010000000000005,3.0368368307570834e-05,19.0,33.1642
Caterpillar,2019,Promotional,Miscellaneous,Normal,48.0,527.0,0.0,29.99,2.0,4.0,32,5.0,2,5.0,0.6247916666666666,0.16672224074691563,10.0,0.13337779259753252,-25.99,6.073673661514167e-05,1.0,85.0
Viking Ship,2019,Promotional,Miscellaneous,Normal,54.0,588.0,0.0,29.99,3.0,5.1213,32,5.0,2,5.0,0.5553703703703703,0.16672224074691563,15.0,0.17076692230743581,-24.868699999999997,9.11051049227125e-05,2.0,4.0
Ladybird,2019,Promotional,Miscellaneous,Normal,27.0,443.0,0.0,29.99,4.0,3.75,32,5.0,2,5.0,1.1107407407407406,0.16672224074691563,20.0,0.12504168056018675,-26.24,0.00012147347323028334,3.0,5.1213
Crane,2019,Promotional,Miscellaneous,Normal,64.0,403.0,0.0,29.99,7.0,4.75,32,5.0,2,5.0,0.46859375,0.16672224074691563,35.0,0.15838612870956986,-25.24,0.00021257857815299585,4.0,3.75
Frog,2019,Promotional,Miscellaneous,Normal,39.0,448.0,0.0,29.99,4.0,8.0,32,5.0,2,5.0,0.768974358974359,0.16672224074691563,20.0,0.26675558519506504,-21.99,0.00012147347323028334,7.0,4.75
Ice Cream Truck,2019,Promotional,Miscellaneous,Normal,48.0,450.0,0.0,29.99,1.0,5.25,32,5.0,2,5.0,0.6247916666666666,0.16672224074691563,5.0,0.17505835278426143,-24.74,3.0368368307570834e-05,4.0,8.0
Racing Car,2019,Promotional,Miscellaneous,Normal,50.0,289.0,0.0,29.99,1.0,4.99,32,5.0,2,5.0,0.5998,0.16672224074691563,5.0,0.16638879626542183,-25.0,3.0368368307570834e-05,1.0,5.25
Eagle,2019,Promotional,Miscellaneous,Normal,56.0,282.0,0.0,29.99,1.0,9.99,32,5.0,2,5.0,0.5355357142857142,0.16672224074691563,5.0,0.33311103701233746,-20.0,3.0368368307570834e-05,1.0,4.99
UFO,2019,Promotional,Miscellaneous,Normal,36.0,326.0,0.0,29.99,1.0,4.99,32,5.0,2,5.0,0.8330555555555555,0.16672224074691563,5.0,0.16638879626542183,-25.0,3.0368368307570834e-05,1.0,9.99
Battle of Hoth - 20th Anniversary Edition,2019,Star Wars,Licensed,Normal,195.0,8863.0,4.0,29.99,50.0,40.0,35,4.0,2,5.0,0.15379487179487178,0.16672224074691563,200.0,1.333777925975325,10.010000000000002,0.0015184184153785418,1.0,4.99
Avengers Tower,2019,Marvel Super Heroes,Licensed,Normal,211.0,6422.0,4.1,29.99,17.0,25.0,23,4.0,2,5.0,0.14213270142180093,0.16672224074691563,68.0,0.8336112037345782,-4.989999999999998,0.0005162622612287042,50.0,40.0
Space Rocket Ride,2019,Ideas,Miscellaneous,Normal,154.0,10254.0,4.1,29.99,28.0,25.0,20,5.0,2,5.0,0.19474025974025974,0.16672224074691563,140.0,0.8336112037345782,-4.989999999999998,0.0008503143126119834,17.0,25.0
Newbury Juice Bar,2019,Hidden Side,Action/Adventure,Normal,127.0,6141.0,3.6,12.99,14.0,25.9841,18,0.0,2,5.0,0.10228346456692913,0.3849114703618168,0.0,2.000315627405697,12.994100000000001,0.0004251571563059917,28.0,25.0
Microscale Gingerbread House,2019,Seasonal,Miscellaneous,Normal,499.0,7371.0,4.0,29.99,37.0,25.0,33,5.0,2,5.0,0.0601002004008016,0.16672224074691563,185.0,0.8336112037345782,-4.989999999999998,0.0011236296273801208,14.0,25.9841
Christmas Tree,2019,Seasonal,Miscellaneous,Normal,392.0,9121.0,4.2,29.99,35.0,74.8089,33,5.0,2,5.0,0.07650510204081633,0.16672224074691563,175.0,2.4944614871623876,44.8189,0.001062892890764979,37.0,25.0
Sea Accessories,2019,Xtra,Miscellaneous,Normal,24.0,3427.0,3.9,3.99,27.0,6.0,42,5.0,2,5.0,0.16625,1.2531328320802004,135.0,1.5037593984962405,2.01,0.0008199459443044125,35.0,74.8089
NINJAGO Minifigure Set,2019,Ninjago,Action/Adventure,Normal,59.0,1970.0,3.9,12.99,5.0,19.0,29,0.0,2,5.0,0.22016949152542373,0.3849114703618168,0.0,1.4626635873749037,6.01,0.00015184184153785418,27.0,6.0
Spider-Man and the Museum Break-In,2019,Marvel Super Heroes,Licensed,Normal,49.0,4383.0,3.6,14.99,3.0,44.8676,23,4.0,2,5.0,0.3059183673469388,0.333555703802535,12.0,2.9931687791861243,29.8776,9.11051049227125e-05,5.0,19.0
Summer Celebration Minifigure Pack,2019,Collectable Minifigures,Miscellaneous,Normal,45.0,2653.0,3.9,12.99,5.0,12.0,7,5.0,2,5.0,0.2886666666666667,0.3849114703618168,25.0,0.9237875288683602,-0.9900000000000002,0.00015184184153785418,3.0,44.8676
LEGOLAND,2019,Promotional,Miscellaneous,Normal,1336.0,2650.0,4.1,29.99,10.0,132.6823,32,5.0,2,5.0,0.02244760479041916,0.16672224074691563,50.0,4.4242180726908975,102.6923,0.00030368368307570837,5.0,12.0
LEGOLAND Driving School,2019,Promotional,Miscellaneous,Normal,209.0,2266.0,4.0,29.99,5.0,17.99,32,5.0,2,5.0,0.14349282296650717,0.16672224074691563,25.0,0.5998666222074025,-12.0,0.00015184184153785418,10.0,132.6823
Birthday Clown,2019,BrickHeadz,Licensed,Normal,150.0,5248.0,3.7,9.99,3.0,10.0,4,4.0,2,5.0,0.0666,0.5005005005005005,12.0,1.001001001001001,0.009999999999999787,9.11051049227125e-05,5.0,17.99
Valentine's Puppy,2019,BrickHeadz,Licensed,Normal,147.0,4464.0,3.7,9.99,13.0,20.0,4,4.0,2,5.0,0.06795918367346938,0.5005005005005005,52.0,2.002002002002002,10.01,0.00039478878799842083,3.0,10.0
Easter Chick,2019,BrickHeadz,Licensed,Normal,120.0,5232.0,3.8,9.99,23.0,15.0,4,4.0,2,5.0,0.08325,0.5005005005005005,92.0,1.5015015015015014,5.01,0.0006984724710741291,13.0,20.0
Halloween Ghost,2019,BrickHeadz,Licensed,Normal,136.0,4402.0,4.1,9.99,10.0,24.9,4,4.0,2,5.0,0.07345588235294118,0.5005005005005005,40.0,2.4924924924924925,14.909999999999998,0.00030368368307570837,23.0,15.0
Thanksgiving Scarecrow,2019,BrickHeadz,Licensed,Normal,177.0,3562.0,3.8,9.99,5.0,22.0,4,4.0,2,5.0,0.05644067796610169,0.5005005005005005,20.0,2.2022022022022023,12.01,0.00015184184153785418,10.0,24.9
"Reindeer, Elf and Elfie",2019,BrickHeadz,Licensed,Normal,281.0,6551.0,3.7,19.99,15.0,16.55,4,4.0,2,5.0,0.07113879003558718,0.25012506253126565,60.0,0.8279139569784894,-3.4399999999999977,0.0004555255246135625,5.0,22.0
Dragon Dance Guy,2019,BrickHeadz,Licensed,Normal,170.0,5132.0,4.1,9.99,21.0,16.8,4,4.0,2,5.0,0.05876470588235294,0.5005005005005005,84.0,1.6816816816816818,6.8100000000000005,0.0006377357344589875,15.0,16.55
